"Nummers"	"Vindplaats"	"Caka"	"Sources"
"557"	"Sading B"	"1072"	"Goris (1954: 345)"
"558"	"Tampak gangsul"	"-"	"Goris (1954: 345)"
"559"	"Dausa B II"	"-"	"Goris (1954: 345)"
"601"	"Mantring A"	"1099"	"Goris (1954: 345)"
"602"	"Buwahan E"	"1103"	"Goris (1954: 345)"
"603"	"Panida Kadja"	"1103"	"Goris (1954: 345)"
"604"	"Prasi B"	"1103"	"Goris (1954: 345)"
"605"	"Batur. p. Abang B"	"1103"	"Goris (1954: 345)"
"621"	"Sembiran C"	"1103"	"Goris (1954: 345)"
"622"	"Kadiri"	"1103"	"Goris (1954: 345)"
"623"	"Buwahan D"	"1103"	"Goris (1954: 345)"
"624"	"Sukawana B"	"1103"	"Goris (1954: 345)"
"625"	"Selat A"	"1103"	"Goris (1954: 345)"
"626"	"Daja"	"-"	"Goris (1954: 345)"
"627"	"Pengotan C I"	"1103"	"Goris (1954: 345)"
"628"	"Pengotan C II"	"-"	"Goris (1954: 345)"
"629"	"Batunja B"	"1103"	"Goris (1954: 345)"
"630"	"Landih B. — Nongan B"	"1103"	"Goris (1954: 345)"
"631"	"Tjempaga A"	"1103"	"Goris (1954: 346)"
"632"	"Sukawati B"	"-"	"Goris (1954: 346)"
"633"	"Bulian A"	"1103"	"Goris (1954: 346)"
"634"	"Pegujangan"	"-"	"Goris (1954: 346)"
"635"	"Teba kau A"	"1103"	"Goris (1954: 346)"
"636"	"Djagaraga"	"1103"	"Goris (1954: 346)"
"637"	"Sukawana C"	"-"	"Goris (1954: 346)"
"638"	"Sarinbuwana A"	"-"	"Goris (1954: 346)"
"639"	"Sarinbuwana B"	"1103"	"Goris (1954: 346)"
"640"	"Serai B"	"1103"	"Goris (1954: 346)"
"641"	"Batur, p. Desa"	"-"	"Goris (1954: 346)"
"661"	"Tondja"	"1103"	"Goris (1954: 346)"
"662"	"Dalung"	"1103"	"Goris (1954: 346)"
"663"	"Pengotan D"	"-"	"Goris (1954: 346)"
"664"	"Mantring B"	"-"	"Goris (1954: 346)"
"665"	"Dausa C"	"-"	"Goris (1954: 346)"
"666"	"Mantring C"	"-"	"Goris (1954: 346)"
"667"	"Teba kau B"	"-"	"Goris (1954: 346)"
"668"	"Malat gede"	"-"	"Goris (1954: 346)"
"701"	"Sawah gunung"	"1116"	"Goris (1954: 346)"
"702"	"Kintamani D"	"-"	"Goris (1954: 346)"
"703"	"Kintamani E"	"1122"	"Goris (1954: 346)"
"704"	"Kintamani F"	"1122"	"Goris (1954: 346)"
"705"	"Bangli, p. Kehen C"	"1126"	"Goris (1954: 346)"
"706"	"Bulian B"	"1182"	"Goris (1954: 346)"
"801"	"Pengotan E"	"1218"	"Goris (1954: 346)"
"802"	"Sukawana D"	"1222"	"Goris (1954: 346)"
"803"	"Y 3 = Srokadan B"	"1246"	"Goris (1954: 346)"
"804"	"Tjempaga C"	"1246"	"Goris (1954: 346)"
"805"	"Bedahulu, p. Pedjaksaan"	"1246"	"Goris (1954: 346)"
"806"	"Tumbu"	"1247"	"Goris (1954: 346)"
"807"	"Salumbung"	"1250"	"Goris (1954: 346)"
"808"	"Krambitan"	"1250"	"Goris (1954: 346)"
"809"	"Pedjeng F"	"1251"	"Goris (1954: 346)"
"810A"	"Gunung Panulisan E"	"1254 ?"	"Goris (1954: 346)"
"810B"	"Sakah, p. Yeh Tibah"	"1258"	"Goris (1954: 346)"
"811"	"Langgahan"	"1259"	"Goris (1954: 346)"
"812"	"Perean A"	"1261"	"Goris (1954: 346)"
"813"	"Perean B"	"1256!"	"Goris (1954: 346)"
"814"	"Pedjeng G"	"1264"	"Goris (1954: 346)"
"901"	"Batur, p. Abang C"	"1306"	"Goris (1954: 347)"
"902"	"Gobleg, p. Batur C"	"1320"	"Goris (1954: 347)"
"903"	"Perean C"	"1351"	"Goris (1954: 347)"
"904"	"Sembung Sobangan"	"1355"	"Goris (1954: 347)"
